link,name,adr,price,price_for_m2,total_area
https://www.reality.sk//byty/na-predaj-novozrekonstruovany-2izbovy-byt-na-trnavskej-ceste-v-bratislave-len-par-km-od-centra-mesta-za-bezkonkurencne-nizku-cenu/JulZJtFo_77/,Na predaj NOVOZREKONŠTRUOVANÝ 2izbový byt na Trnavskej ceste v Bratislave len pár km od centra mesta za BEZKONKURENČNE NÍZKU CENU!!!, Bratislava-Ružinov  Trnavská cesta,216 600 ,3610 €/m², 60 m²
https://www.reality.sk//byty/ponukame-vam-na-predaj-1-izbovy-byt-s-velkou-loggiou-v-jednej-z-najkrajsich-lokalit-m-c-dubravka-ul-sokolikova/JuzUHwiJJoa/,"Ponúkame Vám, na predaj 1-izbový  byt s veľkou LOGGIOU v  jednej z najkrajších lokalít m.č. Dúbravka  ul. Sokolíkova", Bratislava-Dúbravka  Sokolíkova,109 900 ,2818 €/m², 39 m²
https://www.reality.sk//byty/priestranny-3-izbovy-byt-s-terasou-s-vyhladom-na-bratislavu-koliba/Ju7Z1sRpyRC/,PRIESTRANNÝ 3 IZBOVÝ BYT S TERASOU S VÝHĽADOM NA BRATISLAVU - KOLIBA, Bratislava-Nové Mesto  Tupého,550 000 ,3793 €/m², 145 m²
https://www.reality.sk//byty/zariadeny-4-izbovy-byt-v-podunajskych-biskupiciach/Ju6l4Q-OuAr/,ZARIADENÝ 4 IZBOVÝ BYT V PODUNAJSKÝCH BISKUPICIACH, Bratislava-Podunajské Biskupice  Bodrocká,154 900 ,1974 €/m²," 78,49 m²"
https://www.reality.sk//byty/na-predaj-3-izbovy-byt-s-loggiou-v-novom-meste-kramare/JuQXwQGEyfF/,NA PREDAJ 3 IZBOVÝ BYT S LOGGIOU V NOVOM MESTE - KRAMÁRE, Bratislava-Nové Mesto  Stromová,259 000 ,3238 €/m², 80 m²
https://www.reality.sk//byty/na-predaj-2-izb-v-atraktivnej-stvrti-jegeho-alej-skolaudovana-novostavba-ihned-k-nastahovaniu/JuugESaHMe6/,"Na predaj 2. izb. v atraktívnej štvrti Jégeho Alej, SKOLAUDOVANÁ NOVOSTAVBA ihneď k nasťahovaniu", Bratislava-Ružinov  Trnavská cesta,259 900 ,4400 €/m²," 59,07 m²"
https://www.reality.sk//byty/rado-zariadeny-1-5-izb-byt-50m2-novostavba-ruzinovska-ul-44/Juok-cLSIcH/,"RADO | zariadený 1,5 izb.byt 50m2 NOVOSTAVBA-Ružinovská ul. 44", Bratislava-Ružinov  Ružinovská,159 980 ,3200 €/m², 50 m²
https://www.reality.sk//byty/3-izb-byt-v-novostavbe-projekt-danubius-one-14-poschodie-s-vyhladom-na-bratislavsky-hrad-bonus-10-000-na-vybavenie/Jus31vtS6ot/,"3 izb. byt v novostavbe, projekt Danubius One, 14 poschodie s výhľadom na Bratislavský hrad, bonus 10 000 € na vybavenie", Bratislava-Ružinov  Jégeho alej,443 874 ,4830 €/m²," 91,89 m²"
https://www.reality.sk//byty/na-predaj-2-izb-vo-vyhladavanej-stvrti-jegeho-alej-skolaudovana-novostavba-ihned-k-nastahovaniu/JuwnAk9Qdxc/,"Na predaj 2. izb. vo vyhľadávanej štvrti Jégeho alej, SKOLAUDOVANÁ NOVOSTAVBA, ihneď k nasťahovaniu!", Bratislava-Ružinov  Trnavská cesta,275 520 ,4366 €/m²," 63,1 m²"
https://www.reality.sk//byty/exkluzivne-na-predaj-2-5-izbovy-byt-na-prerobenie-64-50-m2-ul-j-c-hronskeho-nove-mesto-cena-174-990/Jumf6jgfS_X/,"EXKLUZÍVNE NA PREDAJ: 2,5 IZBOVÝ BYT NA PREROBENIE, 64,50 M2, UL. J.C. HRONSKÉHO - NOVÉ MESTO, CENA: 174.990 €", Bratislava-Nové Mesto  J. C. Hronského,174 990 ,2713 €/m²," 64,5 m²"
