link,name,adr,price,price_for_m2,total_area
https://www.topreality.sk/krasny-3-izbovy-byt-tehla-vrakuna-piniova-bratislava-r8521541.html,"Krásny 3-izbový byt , tehla, Vrakuňa - Píniová Bratislava","Píniová,  Bratislava-Vrakuňa (Bratislava II)",158 990 €,"2 900,75 €/m2",55 m2
https://www.topreality.sk/2-izbovy-byt-56-m2-tehla-bratislava-nobelova-ulica-r8494983.html,"2-izbový byt, 56 m2,tehla, Bratislava - Nobelova ulica","Nobelova,  Bratislava-Nové Mesto (Bratislava III)",148 500 €,"2 651,79 €/m2",56 m2
https://www.topreality.sk/2-izbovy-byt-tehla-bratislava-stare-mesto-r8489210.html,"2-izbový byt tehla, Bratislava - Staré mesto","Záhrebská,  Bratislava-Staré Mesto (Bratislava I)",227 000 €,"4 632,65 €/m2",49 m2
https://www.topreality.sk/novostavba-2-izbovy-byt-61-m2-petrzalka-slnecnice-viladomy-r8475997.html,"Novostavba 2 izbový byt, 61 m2, Petržalka Slnečnice viladomy","neuvedená,  Bratislava-Petržalka (Bratislava V)",209 000 €,"3 426,23 €/m2",61 m2
https://www.topreality.sk/novostavba-2-izbovy-byt-61-m2-petrzalka-slnecnice-r8475846.html,"Novostavba! 2 izbový byt, 61 m2, Petržalka  Slnečnice","neuvedená,  Bratislava-Petržalka (Bratislava V)",206 000 €,"3 377,05 €/m2",61 m2
https://www.topreality.sk/2-i-byt-56-m2-povodny-stav-ruzinov-svidnicka-ulica-r8475489.html,"2-i. byt, 56 m2, pôvodný stav,Ružinov - Svidnícka ulica","Svidnícka,  Bratislava-Ružinov (Bratislava II)",162 000 €,"2 892,86 €/m2",56 m2
https://www.topreality.sk/2-izbovy-byt-53-m-2-ruzinov-komarnicka-r8474796.html,"2 izbový byt , 53 m 2, Ružinov - Komárnická","Komárnická,  Bratislava-Ružinov (Bratislava II)",188 500 €,"3 556,60 €/m2",53 m2
https://www.topreality.sk/1-izbovy-byt-loggia-dubravka-r8445782.html,"1 izbový byt , loggia, Dúbravka","Bazovského,  Bratislava-Dúbravka (Bratislava IV)",122 990 €,"3 236,58 €/m2",38 m2
https://www.topreality.sk/predaj-3-izbovy-byt-andrusovova-ulica-bratislava-petrzalka-r8399452.html,"Predaj: 3-izbový byt, Andrusovova ulica, Bratislava-Petržalka","Andrusovova,  Bratislava-Petržalka (Bratislava V)",167 000 €,"2 530,30 €/m2",66 m2
https://www.topreality.sk/banska-stiavnica-byt-s-vyhladom-na-nadvorie-66-24-m2-r8395990.html,"BANSKÁ ŠTIAVNICA: BYT s výhľadom na nádvorie, 66,24 m2","neuvedená,  Bratislava-Staré Mesto (Bratislava I)",238 000 €,"3 593,00 €/m2",66 m2
https://www.topreality.sk/banska-stiavnica-byt-s-vyhladom-na-nadvorie-60-23-m2-r8395989.html,"BANSKÁ ŠTIAVNICA: BYT s výhľadom na nádvorie, 60,23 m2","neuvedená,  Bratislava-Staré Mesto (Bratislava I)",216 000 €,"3 586,25 €/m2",60 m2
https://www.topreality.sk/zariadena-garzonka-22-m2-tehlovy-dom-raca-pekna-cesta-r8350425.html,"Zariadená garzónka, 22 m2, tehlový dom,Rača - Pekná cesta","Pekná cesta,  Bratislava-Rača (Bratislava III)",114 990 €,"5 226,82 €/m2",22 m2
https://www.topreality.sk/3-izbovy-byt-loggia-pivnica-riazanska-ulica-nove-mesto-r8271693.html,"3 izbový byt, loggia, pivnica, Riazanská ulica - Nové mesto","Riazanská,  Bratislava-Nové Mesto (Bratislava III)",199 990 €,"2 962,81 €/m2",68 m2
https://www.topreality.sk/2-izbovy-byt-56-m2-balkon-ruzinov-medzilaborecka-ul-r8215475.html,"2 izbový byt, 56 m2, balkón, Ružinov - Medzilaborecká ul.","Medzilaborecká,  Bratislava-Ružinov (Bratislava II)",194 990 €,"3 481,96 €/m2",56 m2
https://www.topreality.sk/garsonka-29-m2-balkon-po-rekonstrukcii-raca-r8210804.html,"Garsónka 29 m2, balkón, po rekonštrukcii Rača","Na pasekách,  Bratislava-Rača (Bratislava III)",115 990 €,"3 999,66 €/m2",29 m2
https://www.topreality.sk/3-izbovy-byt-balkon-70-m2-karlova-ves-janotova-ulica-r8111686.html,"3 izbový byt, balkón, 70 m2,  Karlova Ves - Janotova ulica","Janotova,  Bratislava-Karlova Ves (Bratislava IV)",204 990 €,"2 928,43 €/m2",70 m2
https://www.topreality.sk/garsonka-loggia-petrzalka-sustekova-ul-r8077618.html,"Garsónka , loggia, Petržalka- Šustekova ul.","Šustekova,  Bratislava-Petržalka (Bratislava V)",119 990 €,"4 285,36 €/m2",28 m2
https://www.topreality.sk/3-izbovy-byt-77-m2-lamac-studenohorska-r8077616.html,"3 izbový byt, 77 m2, Lamač Studenohorská","Studenohorská,  Bratislava-Lamač (Bratislava IV)",262 990 €,"3 415,45 €/m2",77 m2
https://www.topreality.sk/4-izb-byt-kompl-rekonstrukcia-petrzalka-sevcenkova-r8077615.html,"4-izb. byt, kompl. rekonštrukcia ,Petržalka - Ševčenkova","Ševčenkova,  Bratislava-Petržalka (Bratislava V)",298 000 €,"3 425,29 €/m2",87 m2
https://www.topreality.sk/2-izbovy-byt-70-m2-karlova-ves-r8076902.html,"2 izbový byt , 70 m2, Karlova Ves","Karloveská,  Bratislava-Karlova Ves (Bratislava IV)",230 000 €,"3 285,71 €/m2",70 m2
https://www.topreality.sk/3-izbovy-byt-loggia-petrzalka-znievska-ulica-r8071822.html,"3 izbový byt ,loggia, Petržalka - Znievska ulica","Znievska,  Bratislava-Petržalka (Bratislava V)",215 000 €,"3 115,94 €/m2",69 m2
https://www.topreality.sk/predaj-2-izboveho-bytu-kompletna-rekons-petrzalka-budatinska-ul-r8073393.html,"Predaj 2-izbového bytu ,kompletná rekonš.,Petržalka-Budatínska ul.","Budatinská,  Bratislava-Petržalka (Bratislava V)",195 990 €,"3 499,82 €/m2",56 m2
https://www.topreality.sk/slnecny-2-izbovy-byt-s-balkonom-ruzinov-planet-r8068042.html,"Slnečný 2-izbový byt s balkónom,  Ružinov - Planét","Planét,  Bratislava-Ružinov (Bratislava II)",209 990 €,"4 467,87 €/m2",47 m2
https://www.topreality.sk/predaj-3-izbovy-byt-2x-loggia-ruzinov-rumancekova-r8476226.html,"Predaj 3 izbový byt ,2x loggia, Ružinov - Rumančeková","Rumančeková,  Bratislava-Ružinov (Bratislava II)",214 990 €,"3 115,80 €/m2",69 m2
https://www.topreality.sk/predaj-1i-byt-36m2-bratislava-m-c-petrzalka-ulica-krasnohorska-r7996334.html,"PREDAJ: 1i byt, 36m2, Bratislava, m.č.: Petržalka, ulica Krásnohorská","Krásnohorská,  Bratislava-Petržalka (Bratislava V)",145 900 €,"4 052,78 €/m2",36 m2
