link,name,adr,price,price_for_m2,total_area
https://www.nehnutelnosti.sk/5276194/nestor-capital-priestranny-jedinecny-3-izbovy-byt-v-novom-meste-s-prekrasnym-vyhladom/,Nestor Capital-Priestranný jedinečný 3-izbový byt v Novom Meste s prekrásnym výhľadom,"Priečna, Bratislava III - Nové Mesto, okres Bratislava",279 000 €,"2 315,35 €/m²","120,5 m²"
https://www.nehnutelnosti.sk/5347072/arvin-benet-zariadena-novostavba-vo-vybornej-lokalite-s-vlastnym-parkingom/,Arvin & Benet | Zariadená novostavba vo výbornej lokalite s vlastným parkingom,"Uzbecká, Bratislava II - Podunajské Biskupice, okres Bratislava",165 000 €,"2 868,07 €/m²","57,53 m²"
https://www.nehnutelnosti.sk/5271427/occam-liget-119-m2-sad-janka-krala-rekuperacia-2x-balkon/,"OCCAM | LIGET 119 m2, Sad Janka Kráľa, rekuperácia, 2x balkón","Krasovského, Bratislava V - Petržalka, okres Bratislava",539 900 €,"4 534,69 €/m²","119,06 m²"
https://www.nehnutelnosti.sk/5079505/1-izbovy-byt-34-m2-v-pokojnej-casti-bratislava-nove-mesto-kukucinova-ulica/,"1 izbový byt 34 m2 v pokojnej časti Bratislava – Nové Mesto, Kukučínova ulica","Bratislava III - Nové Mesto, okres Bratislava",134 900 €,"3 967,65 €/m²",34 m²
https://www.nehnutelnosti.sk/5058721/tureality-ponuka-na-predaj-novy-2-izbovy-byt-so-satnikom-bratislava-raca-39-60m/,"TUreality ponúka na predaj nový 2 izbový byt so šatníkom - Bratislava - Rača - 39,60m²","Bratislava III - Rača, okres Bratislava",144 000 €,"3 692,31 €/m²",39 m²
https://www.nehnutelnosti.sk/5321420/na-predaj-zrekonstruovany-2i-byt-vo-vyhladavanej-casti-bratislavy-v-ruzinove-cast-nivy-na-kvacal/,"Na predaj zrekonštruovaný 2i byt, vo vyhľadávanej časti Bratislavy, v  Ružinove-časť Nivy, na Kvačal","Bratislava II - Ružinov, okres Bratislava",184 980 €,"3 263,59 €/m²","56,68 m²"
https://www.nehnutelnosti.sk/5328986/tureality-ponuka-na-predaj-dvojgarzonku-s-velkou-loggiou-a-pivnicou-v-bratislave-petrzalke-na-kras/,TUreality ponúka na predaj dvojgarzónku s veľkou loggiou a pivnicou v Bratislave - Petržalke na Krás,"Bratislava V - Petržalka, okres Bratislava",129 980 €,"3 108,08 €/m²","41,82 m²"
https://www.nehnutelnosti.sk/5340143/tureality-ponuka-na-predaj-krasny-2-izbovy-byt-zariadeny-byt-na-ulici-zahrebska-stare-mesto-72m2/,TUreality ponúka na predaj: krásny 2-izbový byt zariadený byt na  ulici - Záhrebská Staré mesto 72m2,"Bratislava I - Staré Mesto, okres Bratislava",250 980 €,"3 534,93 €/m²",71 m²
https://www.nehnutelnosti.sk/5313808/tureality-ponuka-na-predaj-3-izbovy-byt-po-ciastocnej-rekonstrukcii-77m2/,TUreality ponúka na predaj: 3 izbový byt po čiastočnej rekonštrukcii 77m2,"Bratislava II - Ružinov, okres Bratislava",228 980 €,"2 973,77 €/m²",77 m²
https://www.nehnutelnosti.sk/5336781/tureality-ponuka-na-predaj-kompletne-zrekonstruovany-jednoizbovy-byt-v-ruzinove/,TUreality ponúka na predaj: kompletne zrekonštruovaný jednoizbový byt v Ružinove,"Bratislava II - Ružinov, okres Bratislava",158 980 €,"3 613,18 €/m²",44 m²
https://www.nehnutelnosti.sk/5340571/tureality-ponuka-na-predaj-3-izbovy-byt-na-koliskovej-ulici-karlovej-vsi-s-peknym-vyhladom-na-okol/,"TUreality ponúka na predaj: 3 izbový byt na Kolískovej ulici, Karlovej Vsi s pekným výhľadom na okol","Bratislava IV - Karlova Ves, okres Bratislava",212 050 €,"2 684,18 €/m²",79 m²
https://www.nehnutelnosti.sk/5336126/3-izbovy-byt-ba-dubravka-po-rekonstrukcii/,"3-izbový byt BA-Dúbravka, po rekonštrukcii","Bratislava IV - Dúbravka, okres Bratislava",195 980 €,"2 721,94 €/m²",72 m²
https://www.nehnutelnosti.sk/5167283/tureality-ponuka-na-predajmoderny-a-zrekonstruovany-byt-na-sumracnej-ulici-44m2/,TUreality ponúka na predaj:moderný a zrekonštruovaný byt na Súmračnej ulici. 44m2,"Bratislava II - Ružinov, okres Bratislava",161 000 €,"3 659,09 €/m²",44 m²
https://www.nehnutelnosti.sk/5349742/2i-ba-trnavka-67-m2-loggia-balkon-tehla/,"2i BA-Trnávka, 67 m2, loggia, balkón, TEHLA,","Bratislava II - Ružinov, okres Bratislava",184 980 €,"2 760,90 €/m²",67 m²
https://www.nehnutelnosti.sk/5302794/2-izbovy-byt-devinska-nova-ves-bory-loggia-parking-59m2/,"2-IZBOVÝ BYT,DEVÍNSKA NOVÁ VES-BORY,LOGGIA,PARKING,59m2","Bratislava IV - Devínska Nová Ves, okres Bratislava",172 000 €,"2 915,25 €/m²",59 m²
https://www.nehnutelnosti.sk/5332752/herrys-na-predaj-2-izbovy-zrekonstruovany-byt-s-pivnicou-v-starom-meste/,Herrys - Na predaj 2 izbový zrekonštruovaný byt s pivnicou v Starom Meste,"Belopotockého, Bratislava I - Staré Mesto, okres Bratislava",215 000 €,"4 079,70 €/m²","52,7 m²"
https://www.nehnutelnosti.sk/5114939/herrys-na-predaj-uplne-novy-4-izbovy-byt-s-dvoma-kupelnami-v-novostavbe-ceresne-parking/,"HERRYS - Na predaj úplne nový 4 izbový byt s dvoma kúpeľňami v novostavbe Čerešne, parking","Polianky, Bratislava IV - Dúbravka, okres Bratislava",379 000 €,"3 634,79 €/m²","104,27 m²"
https://www.nehnutelnosti.sk/5336227/herrys-na-predaj-slnecny-3-izbovy-byt-s-loggiou-na-ipelskej-ulici-3d-obhliadka/,"HERRYS - Na predaj slnečný 3 izbový byt s loggiou na Ipeľskej ulici, 3D obhliadka","Ipeľská, Bratislava II - Podunajské Biskupice, okres Bratislava",159 000 €,"2 159,45 €/m²","73,63 m²"
https://www.nehnutelnosti.sk/5336957/herrys-na-predaj-uplne-novy-slnecny-3-izbovy-apartman-v-novostavbe-ceresne-parking/,"HERRYS - Na predaj úplne nový slnečný 3 izbový apartmán v novostavbe Čerešne, parking","Polianky, Bratislava IV - Dúbravka, okres Bratislava",329 000 €,"3 374,01 €/m²","97,51 m²"
https://www.nehnutelnosti.sk/5344976/rekonstruovany-3i-byt-v-tichej-slepej-ulici/,Rekonštruovaný 3i byt v tichej slepej ulici,"Seberíniho, Bratislava II - Ružinov, okres Bratislava",219 000 €,"3 173,91 €/m²",69 m²
https://www.nehnutelnosti.sk/5276003/2-izbovy-apartman-pri-dunaji-v-blizkosti-downtownu/,2-IZBOVÝ APARTMÁN PRI DUNAJI V BLÍZKOSTI DOWNTOWNU,"Prístavná, Bratislava II - Ružinov, okres Bratislava",240 000 €,"4 571,43 €/m²","52,5 m²"
https://www.nehnutelnosti.sk/5273035/4-izbovy-byt-s-vysokymi-stropmi-a-velkou-terasou-v-blizkosti-moderneho-centra-a-dunaja/,4-IZBOVÝ BYT S VYSOKÝMI STROPMI A VEĽKOU TERASOU V BLÍZKOSTI MODERNÉHO CENTRA A DUNAJA,"Prístavná, Bratislava II - Ružinov, okres Bratislava",770 000 €,"6 316,65 €/m²","121,9 m²"
https://www.nehnutelnosti.sk/5280575/2-izb-byt-60m2-garaz-povodny-stav-gemerska-ulica-ruzinov-nivy-bratislava/,"2-izb.byt,60m2,garáž,pôvodný stav,Gemerská ulica,Ružinov/Nivy-Bratislava.","Gemerská, Bratislava II - Ružinov, okres Bratislava",220 000 €,"3 666,67 €/m²",60 m²
https://www.nehnutelnosti.sk/5213665/2-izbovy-tehlovy-byt-na-strkovci-uplne-komplet-prerobeny-ruzinov/,"2-izbový tehlový byt na Štrkovci, úplne komplet prerobený, Ružinov","Herlianska, Bratislava II - Ružinov, okres Bratislava",222 000 €,"4 036,36 €/m²",55 m²
https://www.nehnutelnosti.sk/5231588/rk-boreal-novostavba-2izb-byt-s-balkonom-fedinova-ul-bratislava-petrzalka/,"** RK BOREAL ** Novostavba 2izb. byt s balkónom, Fedinova ul. Bratislava - Petržalka","Fedinova, Bratislava V - Petržalka, okres Bratislava",178 000 €,"3 325,24 €/m²","53,53 m²"
https://www.nehnutelnosti.sk/5251059/velkometrazny-4-izbovy-byt-s-vyhladom-na-slavin-v-blizkosti-medickej-zahrady/,VEĽKOMETRÁŽNY 4-IZBOVÝ BYT S VÝHĽADOM NA SLAVÍN V BLÍZKOSTI MEDICKEJ ZÁHRADY,"Špitálska, Bratislava I - Staré Mesto, okres Bratislava",653 000 €,3 265 €/m²,200 m²
https://www.nehnutelnosti.sk/5162653/herrys-na-predaj-klimatizovany-3-izbovy-byt-v-novostavbe-novy-ruzinov/,HERRYS – Na predaj klimatizovaný 3 izbový byt v novostavbe Nový Ružinov,"Bajkalská, Bratislava II - Ružinov, okres Bratislava",235 000 €,"3 300,56 €/m²","71,2 m²"
https://www.nehnutelnosti.sk/5199926/herrys-na-predaj-2-izbovy-byt-s-balkonom-v-nedavno-skolaudovanej-novostavbe-ceresne/,HERRYS - Na predaj 2 izbový byt s balkónom v nedávno skolaudovanej novostavbe Čerešne,"Polianky, Bratislava IV - Dúbravka, okres Bratislava",175 000 €,"3 615,70 €/m²","48,4 m²"
https://www.nehnutelnosti.sk/5246278/herrys-na-predaj-3-izbovy-byt-s-velkorysou-vymerou-a-vlastnou-garazou-v-ruzinove-teslova-ulica/,HERRYS - Na predaj 3-izbový byt s veľkorysou výmerou a vlastnou garážou v Ružinove - Teslova ulica,"Teslova, Bratislava II - Ružinov, okres Bratislava",250 000 €,"2 176,37 €/m²","114,87 m²"
https://www.nehnutelnosti.sk/5303818/herrys-na-predaj-ciastocne-zrekonstruovany-3-izbovy-byt-s-moznostou-prerabky-na-4-izbovy-byt/,HERRYS - Na predaj čiastočne zrekonštruovaný 3-izbový byt s možnosťou prerábky na 4-izbový byt,"Kríková, Bratislava II - Vrakuňa, okres Bratislava",174 990 €,"2 131,68 €/m²","82,09 m²"
https://www.nehnutelnosti.sk/5299102/herrys-na-predaj-kompletne-zrekonstruovany-3-izbovy-byt-s-vytahom-v-tehlovom-dome/,HERRYS - Na predaj kompletne zrekonštruovaný 3-izbový byt s výťahom v tehlovom dome,"Blumentálska, Bratislava I - Staré Mesto, okres Bratislava",310 000 €,"4 309,15 €/m²","71,94 m²"
