link,name,adr,price
https://www.reality.sk//byty/predaj-3-izbovy-byt-93-m2-3-lodzie-bratislava/JuG5J4mNSOH/,"PREDAJ: 3 izbový byt, 93 m2 + 3 lodžie, Bratislava", Bratislava-Nové Mesto  Račianska,164 990 
https://www.reality.sk//byty/na-predaj-1izbovy-byt-v-karlovej-vsi-na-silvanskej-ul/JuSzDi1Rvy5/,Na predaj 1izbový byt v Karlovej Vsi na Silvánskej ul., Bratislava-Karlova Ves  Silvánska,119 900 
https://www.reality.sk//byty/babony-tre-3-izbovy-byt-s-terasou-a-zahradkou-na-turbinovej-1-v-ba/JuiDwb3BE9d/,Babony TRE | 3 izbový byt s terasou a záhradkou na Turbínovej 1 v BA, Bratislava-Nové Mesto  Turbínová,257 040 
https://www.reality.sk//byty/babony-tre-na-predaj-krasny-3-izbovy-byt-v-ruzinove-ostredky/JuZo85txS4N/,Babony TRE | Na predaj krásny 3 izbový byt v Ružinove - Ostredky, Bratislava-Ružinov  Ostredková,239 900 
https://www.reality.sk//byty/3d-predaj-3i-bytu-novostavba-citypark-ruzinov-plynarenska-ul-ba-ii/JuKrA013hbv/,"3D, predaj 3i bytu, novostavba CityPark Ružinov, Plynárenská ul, BA II", Bratislava-Ružinov  Plynárenská,349 990 
https://www.reality.sk//byty/predaj-1-izbovy-byt-s-balkonom-ovocne-sady-ba-ruzinov/JuZBK5drkgS/,"PREDAJ, 1 izbový byt s balkónom, Ovocné sady , BA - Ružinov", Bratislava-Ružinov  Ivanská cesta,139 000 
https://www.reality.sk//byty/nova-cena-3-izb-byt-pod-hradom-95m2-po-rekonstrukcii-balkon-garaz/JuKmUhdzi6f/,"NOVÁ CENA 3-izb byt pod hradom, 95m2, po rekonštrukcii, balkón, garáž", Bratislava-Staré Mesto  Zámocká,399 900 
https://www.reality.sk//byty/arthur-moderny-2-5-izb-byt-v-18-rocnom-bytovom-dome-na-hany-melickovej-s-balkonom/JupOPtwSznQ/,"ARTHUR - Moderný  2,5 izb. byt v 18-ročnom bytovom dome  na Hany Meličkovej s balkónom!", Bratislava-Karlova Ves  Hany Meličkovej,229 500 
https://www.reality.sk//byty/arthur-akcia-3izb-byt-podunajske-biskupice-latoricka-ulica/JuKzOl2a7ZI/,"ARTHUR - AKCIA - 3IZB. BYT, Podunajské Biskupice, Latorická ulica", Bratislava-Podunajské Biskupice ,149 990 
https://www.reality.sk//byty/arthur-znalecky-posudok-vam-zabezpecime-ako-bonus/Ju9JcX3E2xjV/,ARTHUR - Znalecký posudok Vám zabezpečíme ako BONUS!, Bratislava-Ružinov ,155 000 
https://www.reality.sk//byty/agent-sk-na-predaj-1-izbovy-byt-lublanska-zilina-vlcince/Ju9-n_H_Tff/,"AGENT.SK | Na predaj 1-izbový byt Ľubľanská, Žilina - Vlčince", Bratislava-Nové Mesto  Ľubľanská,
https://www.reality.sk//byty/78-m2-velky-3-izb-byt-s-5-m2-loggiou-a-spajzou-v-jednej-z-najlepsich-lokalit-bratislavy/Jug57Tv2oh1/,78 m2 veľký 3 izb byt s +5 m2 Loggiou a +špajzou v jednej z najlepších lokalít Bratislavy, Bratislava-Ružinov  Bajzova,259 000 
https://www.reality.sk//byty/2-kk-byt-v-ruzinove-bez-tiarch-na-rekonstrukciu-podla-vlastnych-predstav/JujP4pA4yDF/,2+KK byt v Ružinove bez tiarch na rekonštrukciu podľa vlastných predstáv, Bratislava-Ružinov  Jadrová,169 990 
https://www.reality.sk//byty/rodinny-3-izb-byt-na-latorickej-ulici/JuEa49kEmmw/,Rodinný 3-izb. byt na Latorickej ulici, Bratislava-Podunajské Biskupice  Latorická,175 000 
https://www.reality.sk//byty/agent-sk-na-predaj-pekny-podkrovny-byt-bratislava-nivy/JuGY_J2tdNw/,"AGENT.SK | Na predaj pekný podkrovný byt, Bratislava - Nivy", Bratislava-Ružinov  Miletičova,294 900 
https://www.reality.sk//byty/na-predaj-vynimocny-4-izbovy-byt-v-novostavbe-s-balkonom-2-parkovacie-statia-112-m2-v-bezprostrednej-blizkosti-lesoparku-ba-ii/JukTfueVGGg/,"Na PREDAJ výnimočný 4 izbový byt v novostavbe s balkónom, 2 parkovacie státia, 112  m2, v bezprostrednej blízkosti LESOPARKU, BA II", Bratislava-Vrakuňa  Brezová,420 000 
https://www.reality.sk//byty/priestranny-3-izbovy-byt-s-terasou-s-vyhladom-na-bratislavu-koliba/Ju7Z1sRpyRC/,PRIESTRANNÝ 3 IZBOVÝ BYT S TERASOU S VÝHĽADOM NA BRATISLAVU - KOLIBA, Bratislava-Nové Mesto  Tupého,550 000 
https://www.reality.sk//byty/zariadeny-4-izbovy-byt-v-podunajskych-biskupiciach/Ju6l4Q-OuAr/,ZARIADENÝ 4 IZBOVÝ BYT V PODUNAJSKÝCH BISKUPICIACH, Bratislava-Podunajské Biskupice  Bodrocká,154 900 
https://www.reality.sk//byty/na-predaj-3-izbovy-byt-s-loggiou-v-novom-meste-kramare/JuQXwQGEyfF/,NA PREDAJ 3 IZBOVÝ BYT S LOGGIOU V NOVOM MESTE - KRAMÁRE, Bratislava-Nové Mesto  Stromová,259 000 
https://www.reality.sk//byty/velky-1-izbovy-byt-v-centre-lamaca/JungzyorfTG/,Veľký 1 izbový byt v centre Lamača, Bratislava-Lamač  Studenohorská,127 000 
https://www.reality.sk//byty/charizmaticky-byt-na-kolibe/JuJzp5nyNnp/,Charizmatický byt na Kolibe, Bratislava-Nové Mesto  Pod Vtáčnikom,398 000 
https://www.reality.sk//byty/priestranny-byt-v-top-lokalite-tomasikova-ul-73-6-m2/JudAS-DQtDU/,"Priestranný byt v TOP lokalite - Tomášikova ul. - 73,6 m2", Bratislava-Ružinov  Tomášikova,229 000 
https://www.reality.sk//byty/uzasne-byvanie-aj-investicia-byt-pri-jazere-kuchajda-tomasikova-ul-koloseo/JuprcSzN5LW/,ÚŽASNÉ BÝVANIE AJ INVESTÍCIA- BYT PRI JAZERE KUCHAJDA - Tomášikova ul. - KOLOSEO, Bratislava-Nové Mesto  Tomášikova,229 000 
https://www.reality.sk//byty/predaj-3-izbovy-byt-s-loggiou-pri-vrakunskom-lesoparku-a-malom-dunaji-na-estonskej-ulici-baii-podunajske-biskupice/JuSPs3YYldG/,"Predaj 3 - izbový byt s loggiou, pri Vrakúnskom lesoparku a Malom Dunaji, na Estónskej ulici, BAII – Podunajské Biskupice", Bratislava-Podunajské Biskupice  Estónska,147 000 
https://www.reality.sk//byty/velky-3-izbovy-byt-108-m2-s-dvomi-loggiami-v-blizkosti-malych-karpat/JuGlkNSeXtv/,"VEĽKÝ 3-IZBOVÝ BYT 108 m2 S DVOMI LOGGIAMI, V BLÍZKOSTI MALÝCH KARPÁT", Bratislava-Rača  Pri vinohradoch,339 000 
https://www.reality.sk//byty/4-izb-byt-po-celkovej-rekonstrukcii-ruzinov-bancikovej-ul/JuFMZRYY0nN/,"4-IZB. BYT PO CELKOVEJ REKONŠTRUKCII, RUŽINOV, BANCÍKOVEJ UL.", Bratislava-Ružinov  Bancíkovej,245 000 
