link,name,adr,price
https://www.nehnutelnosti.sk/5336957/herrys-na-predaj-uplne-novy-slnecny-3-izbovy-apartman-v-novostavbe-ceresne-parking/,"HERRYS - Na predaj úplne nový slnečný 3 izbový apartmán v novostavbe Čerešne, parking","Polianky, Bratislava IV - Dúbravka, okres Bratislava",329 000 €
https://www.nehnutelnosti.sk/5336227/herrys-na-predaj-slnecny-3-izbovy-byt-s-loggiou-na-ipelskej-ulici-3d-obhliadka/,"HERRYS - Na predaj slnečný 3 izbový byt s loggiou na Ipeľskej ulici, 3D obhliadka","Ipeľská, Bratislava II - Podunajské Biskupice, okres Bratislava",159 000 €
https://www.nehnutelnosti.sk/5332752/herrys-na-predaj-2-izbovy-zrekonstruovany-byt-s-pivnicou-v-starom-meste/,Herrys - Na predaj 2 izbový zrekonštruovaný byt s pivnicou v Starom Meste,"Belopotockého, Bratislava I - Staré Mesto, okres Bratislava",215 000 €
https://www.nehnutelnosti.sk/5323627/herrys-na-predaj-kompletne-zrekonstruovany-3-izbovy-byt-s-krasnym-vyhladom-na-dubravske-lesy/,HERRYS - Na predaj kompletne zrekonštruovaný 3-izbový byt s krásnym výhľadom na dúbravské lesy,"Karola Adlera, Bratislava IV - Dúbravka, okres Bratislava",189 900 €
https://www.nehnutelnosti.sk/5309024/herrys-na-predaj-svetly-4-izbovy-byt-s-terasou-v-projekte-novy-ruzinov-bratislava-ruzinov/,"HERRYS - Na predaj svetlý 4-izbový byt s terasou v projekte Nový Ružinov, Bratislava – Ružinov","Na výslní, Bratislava II - Ružinov, okres Bratislava",412 500 €
https://www.nehnutelnosti.sk/5310488/herrys-na-predaj-velkometrazny-2-izbovy-byt-so-samostatnou-kuchynou-na-palisadach-stetinova-ulica/,"HERRYS- Na predaj veľkometrážny 2-izbový byt so samostatnou kuchyňou na Palisádach, Štetinová ulica","Štetinova, Bratislava I - Staré Mesto, okres Bratislava",279 900 €
https://www.nehnutelnosti.sk/5303818/herrys-na-predaj-ciastocne-zrekonstruovany-3-izbovy-byt-s-moznostou-prerabky-na-4-izbovy-byt/,HERRYS - Na predaj čiastočne zrekonštruovaný 3-izbový byt s možnosťou prerábky na 4-izbový byt,"Kríková, Bratislava II - Vrakuňa, okres Bratislava",174 990 €
https://www.nehnutelnosti.sk/5299493/herrys-na-predaj-3-izbovy-byt-v-povodnom-stave-vo-vybornej-lokalite-v-ruzinove/,HERRYS - Na predaj 3-izbový byt v pôvodnom stave vo výbornej lokalite v Ružinove,"Sputniková, Bratislava II - Ružinov, okres Bratislava",210 000 €
https://www.nehnutelnosti.sk/5299102/herrys-na-predaj-kompletne-zrekonstruovany-3-izbovy-byt-s-vytahom-v-tehlovom-dome/,HERRYS - Na predaj kompletne zrekonštruovaný 3-izbový byt s výťahom v tehlovom dome,"Blumentálska, Bratislava I - Staré Mesto, okres Bratislava",310 000 €
https://www.nehnutelnosti.sk/5255262/herrys-na-predaj-vynimocny-3-izbovy-byt-vo-vynimocnej-lokalite-pod-bratislavskym-hradom/,HERRYS - Na predaj výnimočný 3-izbový byt vo výnimočnej lokalite pod Bratislavským hradom,"Palisády, Bratislava I - Staré Mesto, okres Bratislava",499 000 €
https://www.nehnutelnosti.sk/5246278/herrys-na-predaj-3-izbovy-byt-s-velkorysou-vymerou-a-vlastnou-garazou-v-ruzinove-teslova-ulica/,HERRYS - Na predaj 3-izbový byt s veľkorysou výmerou a vlastnou garážou v Ružinove - Teslova ulica,"Teslova, Bratislava II - Ružinov, okres Bratislava",250 000 €
https://www.nehnutelnosti.sk/5199926/herrys-na-predaj-2-izbovy-byt-s-balkonom-v-nedavno-skolaudovanej-novostavbe-ceresne/,HERRYS - Na predaj 2 izbový byt s balkónom v nedávno skolaudovanej novostavbe Čerešne,"Polianky, Bratislava IV - Dúbravka, okres Bratislava",175 000 €
https://www.nehnutelnosti.sk/5197259/herrys-na-predaj-2-izbovy-byt-s-peknym-vyhladom-v-devinskej-novej-vsi/,HERRYS - Na predaj 2-izbový byt s pekným výhľadom v Devínskej Novej Vsi,"Eisnerova, Bratislava IV - Devínska Nová Ves, okres Bratislava",190 000 €
https://www.nehnutelnosti.sk/5162653/herrys-na-predaj-klimatizovany-3-izbovy-byt-v-novostavbe-novy-ruzinov/,HERRYS – Na predaj klimatizovaný 3 izbový byt v novostavbe Nový Ružinov,"Bajkalská, Bratislava II - Ružinov, okres Bratislava",235 000 €
https://www.nehnutelnosti.sk/5143263/herrys-na-predaj-3-izbovy-byt-v-projekte-gastanova-rezidencia-horsky-park/,HERRYS - Na predaj 3-izbový byt v projekte Gaštanová/Rezidencia Horský park,"Gaštanová, Bratislava I - Staré Mesto, okres Bratislava",380 000 €
