,link,name,adr,price,price_for_m2,total_area
10859,https://www.topreality.sk/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov-r8422246.html,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,166639.0,4515.972,37
6926,https://www.reality.sk//byty/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov/JucS8-Jwd65/,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,1770432.0,4798.0,37
10866,https://www.topreality.sk/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov-r8422271.html,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,179618.0,4867.712,37
10872,https://www.topreality.sk/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov-r8384797.html,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,178758.0,4844.392,37
10875,https://www.topreality.sk/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov-r8422264.html,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,177043.0,4797.922,37
10878,https://www.topreality.sk/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov-r8386464.html,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,132827.0,4710.172,28
10902,https://www.topreality.sk/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov-r8386470.html,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,131298.0,4655.962,28
10882,https://www.topreality.sk/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov-r8386458.html,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,132182.0,4687.322,28
10886,https://www.topreality.sk/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov-r8386455.html,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,130147.0,4615.152,28
2581,https://www.nehnutelnosti.sk/5193382/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov/,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,131298.0,4655.96,28
