link,name,adr,price,price_for_m2,total_area
https://www.nehnutelnosti.sk/5345666/novy-3-izbovy-byt-s-velkou-loggiou-kompletna-rekonstrukcia-11-2023-mudrochova-ul-bratislava-r/,NOVÝ - 3 izbový byt s veľkou loggiou - kompletná rekonštrukcia 11/2023 - Mudrochova ul. Bratislava R,mudrochovarača,209800.0,2997.14,70.0
https://www.nehnutelnosti.sk/5337534/2-izb-pri-trnavskom-myte-skultetyho-ul-vyborna-mestska-lokalita/,2 izb.  pri TRNAVSKOM MÝTE - Škultétyho ul. - výborná mestská lokalita,škultétyhonovémesto,149999.0,3296.68,45.5
https://www.nehnutelnosti.sk/5291650/vynimocny-2-izbovy-byt-v-krasnom-projekte-nido-2/,Výnimočný 2 izbový byt v krásnom projekte NIDO 2,tomášikovanovémesto,248480.0,4284.14,58.0
https://www.nehnutelnosti.sk/5334078/na-predaj-2-izbovy-byt-v-bratislave-dubravka-pri-oc-saratov-8poschodova-bytovka/,Na predaj 2 izbový byt v Bratislave Dúbravka pri OC Saratov 8poschodová bytovka,fedákovadúbravka,129900.0,2450.94,53.0
https://www.nehnutelnosti.sk/5342501/bezbarierovy-3-izbovy-novo-zrekonstruovany-byt-s-loggiou-v-zelenej-casti-dubravka/,BEZBARIÉROVÝ – 3 izbový NOVO zrekonštruovaný byt s loggiou v zelenej časti Dúbravka,nejedléhodúbravka,188700.0,2550.0,74.0
https://www.nehnutelnosti.sk/5342500/1-izb-byt-s-velkou-terasou-v-novsej-stavbe-2009-kresankova-7a-bratislava-iv/,"1 izb. byt s veľkou terasou v novšej stavbe 2009 - Kresánkova 7A, Bratislava IV",kresánkovakarlovaves,139800.0,3039.13,46.0
https://www.nehnutelnosti.sk/5334616/kompletne-zrekonstruovany-3-izbovy-byt-s-dvomi-loggiami-adamiho-karlova-ves-ba-iv/,"Kompletne zrekonštruovaný 3-izbový byt s dvomi loggiami, Adámiho, Karlova Ves - BA IV.",adámihokarlovaves,215000.0,2603.54,82.58
https://www.nehnutelnosti.sk/5335932/kompletne-zrekonstruovany-3-izbovy-byt-kuklovska-karlova-ves-ba-iv/,"Kompletne zrekonštruovaný 3-izbový byt, Kuklovská, Karlova Ves - BA IV.",kuklovskákarlovaves,207000.0,2861.09,72.35
https://www.nehnutelnosti.sk/5317911/velky-1-izb-byt-v-bratislave-petrzalke-na-predaj/,Veľký 1 izb. byt v Bratislave - Petržalke na predaj,budatínskapetržalka,137900.0,2934.04,47.0
https://www.nehnutelnosti.sk/5337533/najatraktivnejsia-cena-znizena-o-11-tisic-2-izb-65m2-9m2-loggia-novostavba-koloseo/,NAJATRAKTÍVNEJŠIA CENA ZNÍŽENÁ o 11 TISÍC. 2 izb 65m2 + 9m2 LOGGIA NOVOSTAVBA KOLOSEO,tomášikovaružinov,218000.0,2961.96,73.6
